fecha,pais,departamento,municipio,lugar,localidad,zona,implementacion,coordenadas_n,coordenadas_w,altitud,hora,codigo,transecto,subparcela,cobertura,familia,genero,especie,cap,dap,altura,cob_x,cob_y,cob_total,observaciones
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,1,Pastos Limpios,Rosaceae,Hesperomeles,Hesperomeles obtusifolia,7.222,2.3,79,129,146,18834,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´32.0""","75°24´10.5""",4120,15:35,PPT5,5,1,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,7.85,2.5,135,82,92,7544,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,3,Pastos Limpios,Clethraceae,Clethra,Clethra revoluta,9.42,3,190,164,134,21976,
13/07/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´50.8""","75°26´35.2""",3647,12:07,PRT4,4,3,Pastos Limpios,Rosaceae,Hesperomeles,Hesperomeles obtusifolia,10.99,3.5,240,255,184,46920,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011," 04°46´32.0""","75°24´10.5""",4120,15:35,PPT5,5,3,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,14.13,4.5,260,189,185,34965,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,23.864,7.6,270,74,73,5402,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´34.4""","75°24´19.3""",4073,13:42,PPT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,26.69,8.5,165,76,76,5776,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,27.318,8.7,167,77,77,5929,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´25.5""","75°25´05.0""",4078,12:50,LMT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,27.946,8.9,168,70,60,4200,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,28.574,9.1,185,65,63,4095,
